Term,P(class1),P(class2),P(class3),P(class4)
clear,0.0003,0.0001,0.0002,0.0002
clin,0.0001,0.0001,0.0003,0.0002
cliqu,0.0002,0.0001,0.0002,0.0002
clos,0.0001,0.0003,0.0002,0.0004
closed-form,0.0001,0.0003,0.0002,0.0002
cloud,0.0001,0.0001,0.0002,0.0011
club,0.0002,0.0001,0.0002,0.0002
clust,0.0006,0.0025,0.0028,0.0013
cluster-based,0.0002,0.0001,0.0002,0.0002
cluster-level,0.0001,0.0001,0.0002,0.0005
clustering-based,0.0002,0.0001,0.0002,0.0002
cma,0.0003,0.0001,0.0002,0.0002
cmpmo-ga,0.0002,0.0001,0.0002,0.0002
cmpmo-hho,0.0002,0.0001,0.0002,0.0002
cmpmo-sgo,0.0004,0.0001,0.0002,0.0002
cmpmo/des,0.0005,0.0001,0.0002,0.0002
cnn,0.0001,0.0009,0.0002,0.0002
cnns,0.0001,0.0007,0.0002,0.0002
co-copula,0.0001,0.0001,0.0002,0.0004
co-evolving,0.0001,0.0001,0.0003,0.0002
