Term,P(class1),P(class2),P(class3),P(class4)
averag,0.0008,0.0008,0.0002,0.0007
avoid,0.0005,0.0003,0.0002,0.0002
awar,0.0001,0.0001,0.0002,0.0003
awarde,0.0001,0.0001,0.0002,0.0005
axial,0.0001,0.0005,0.0002,0.0002
axiom,0.0001,0.0001,0.0002,0.0003
ba,0.0002,0.0001,0.0002,0.0002
backbon,0.0001,0.0003,0.0002,0.0002
backus,0.0001,0.0001,0.0002,0.0003
backward,0.0001,0.0003,0.0002,0.0002
bag,0.0001,0.0003,0.0002,0.0002
baghdad,0.0001,0.0001,0.0003,0.0002
bailout,0.0006,0.0001,0.0002,0.0002
balanc,0.0026,0.0006,0.0008,0.0003
balk,0.0001,0.0001,0.0002,0.0003
ball,0.0003,0.0001,0.0002,0.0002
bang-big,0.0004,0.0001,0.0002,0.0002
bangladesh,0.0001,0.0001,0.0005,0.0002
bank,0.0004,0.0003,0.0002,0.0002
bar,0.0002,0.0003,0.0002,0.0002
base,0.003,0.0026,0.0032,0.0033
base-learn,0.0001,0.0008,0.0002,0.0002
baselin,0.0003,0.0003,0.0002,0.0005
basi,0.0001,0.0001,0.0003,0.0002
basic,0.0002,0.0003,0.0002,0.0002
bat,0.0001,0.0001,0.0005,0.0002
bat-inspir,0.0002,0.0001,0.0002,0.0002
batteri,0.0002,0.0008,0.0012,0.0002
bay,0.0001,0.0004,0.0002,0.0002
bayesian,0.0001,0.0004,0.0002,0.0002
bbo,0.0002,0.0001,0.0002,0.0002
bcnn,0.0001,0.0005,0.0002,0.0002
beam,0.0003,0.0001,0.0002,0.0002
becom,0.0004,0.0003,0.0003,0.0003
bee,0.0005,0.0001,0.0005,0.0002
bee-inspir,0.0001,0.0001,0.001,0.0002
beetl,0.0004,0.0001,0.0002,0.0002
behavior,0.0008,0.0017,0.0002,0.0007
behaviour,0.0003,0.0001,0.0002,0.0002
belief-rul,0.0001,0.0005,0.0002,0.0002
believ,0.0001,0.0003,0.0002,0.0002
benchmark,0.0031,0.0008,0.0007,0.0003
benefit,0.0004,0.0003,0.0002,0.0005
besid,0.0002,0.0001,0.0002,0.0003
bess,0.0003,0.0001,0.0002,0.0002
best,0.0008,0.0001,0.0003,0.0005
best-insert,0.0001,0.0001,0.0002,0.0003
bet,0.0001,0.0003,0.0002,0.0002
better,0.001,0.0004,0.0008,0.0007
beyond,0.0002,0.0003,0.0005,0.0005
bezier-bas,0.0002,0.0001,0.0002,0.0002
bi-direct,0.0001,0.0001,0.0005,0.0002
biagao,0.0001,0.0001,0.0003,0.0002
biahco,0.0001,0.0001,0.0003,0.0002
bias,0.0001,0.0001,0.0005,0.0002
biasao,0.0001,0.0001,0.0003,0.0002
bibliograph,0.0002,0.0001,0.0002,0.0002
big,0.0004,0.0001,0.0002,0.0002
bigbasket,0.0001,0.0001,0.0005,0.0002
bike,0.0001,0.0004,0.0002,0.0002
bilater,0.0001,0.0003,0.0002,0.0002
bilinear,0.0001,0.001,0.0002,0.0002
bilstm,0.0001,0.0001,0.001,0.0002
bim,0.0001,0.0003,0.0002,0.0002
binari,0.0001,0.0001,0.0003,0.0002
bio-inspir,0.0007,0.0001,0.0002,0.0002
biocompat,0.0001,0.0001,0.0002,0.0003
biography-bas,0.0002,0.0001,0.0002,0.0002
biolog,0.0002,0.0003,0.0003,0.0002
biologically-inspir,0.0001,0.0003,0.0002,0.0002
bird,0.001,0.0001,0.0002,0.0002
birt,0.0001,0.0001,0.0002,0.0005
bka,0.0001,0.0004,0.0002,0.0002
black,0.0001,0.0005,0.0002,0.0002
black-wing,0.0001,0.0003,0.0002,0.0002
block,0.0002,0.0006,0.0002,0.0002
block-bas,0.0001,0.0003,0.0002,0.0002
bls,0.0001,0.0003,0.0002,0.0002
blur,0.0001,0.0003,0.0002,0.0002
board,0.0003,0.0001,0.0002,0.0002
bodi,0.0003,0.0003,0.0002,0.0003
bolster,0.0002,0.0001,0.0002,0.0002
bone,0.0001,0.0003,0.0002,0.0002
boolean,0.0001,0.0001,0.0002,0.0003
boost,0.0003,0.0004,0.0007,0.0003
bottom-up,0.0001,0.0001,0.0002,0.0003
bound,0.0001,0.0001,0.0002,0.0003
bound-constrain,0.0002,0.0001,0.0002,0.0002
boundari,0.0003,0.0001,0.0002,0.0002
bounded,0.0001,0.0001,0.0002,0.0005
box,0.0002,0.0003,0.0002,0.0002
bpbo,0.0006,0.0001,0.0002,0.0002
bpnn,0.0001,0.0003,0.0002,0.0002
br-net,0.0001,0.0004,0.0002,0.0002
branch,0.0001,0.0003,0.0002,0.0003
breakthrough,0.0001,0.0003,0.0002,0.0002
breast,0.0001,0.0001,0.0008,0.0002
brelu,0.0001,0.0003,0.0002,0.0002
brhamo,0.0001,0.0001,0.0008,0.0002
briefli,0.0001,0.0003,0.0002,0.0002
bring,0.0001,0.0001,0.0002,0.0003
broad,0.0001,0.0001,0.0003,0.0002
broad-level,0.0002,0.0001,0.0002,0.0002
broaden,0.0002,0.0001,0.0003,0.0002
broader,0.0001,0.0001,0.0003,0.0003
brownian,0.0003,0.0001,0.0002,0.0002
broyden,0.0001,0.0001,0.0003,0.0002
bsd500,0.0002,0.0001,0.0002,0.0002
bss,0.0001,0.0008,0.0002,0.0002
budget,0.0001,0.0003,0.0002,0.0002
build,0.0001,0.0012,0.0002,0.0002
built,0.0002,0.0003,0.0002,0.0002
built-in,0.0001,0.0001,0.0003,0.0002
bus,0.0004,0.0001,0.0002,0.0002
busi,0.0004,0.0001,0.0002,0.0005
businesspeopl,0.0001,0.0001,0.0002,0.0003
bézier,0.0002,0.0001,0.0002,0.0002
c-mean,0.0001,0.0008,0.0002,0.0002
c-taea,0.0002,0.0001,0.0002,0.0002
calcul,0.0003,0.0001,0.0002,0.0003
